                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.34851,                0.40296,                0.32897,                0.83958,                0.99367,                0.98413,                0.99277,                0.96505,                0.99263,                 0.9831,                0.99263,                0.84804,                    nan,                0.38228,                    nan,                    nan,              0.0090496,              0.0090496,              0.0090496
                     99,                0.34427,                0.40352,                0.32216,                0.83799,                0.99156,                0.98604,                0.99305,                0.96747,                0.99096,                 0.9838,                0.99316,                0.85267,                    nan,                0.38181,                    nan,                    nan,              0.0090397,              0.0090397,              0.0090397
                    100,                0.34749,                0.39936,                 0.3249,                0.83909,                0.99188,                0.98613,                0.99342,                0.96571,                0.99149,                0.98498,                0.99366,                0.85241,                    nan,                0.37661,                    nan,                    nan,              0.0090298,              0.0090298,              0.0090298
                    101,                  0.345,                0.40558,                0.32757,                 0.8378,                0.99131,                0.98583,                0.99316,                0.96571,                0.99052,                0.98503,                0.99281,                0.84903,                    nan,                0.38089,                    nan,                    nan,              0.0090199,              0.0090199,              0.0090199
                    102,                0.34554,                0.40278,                0.32512,                0.83825,                0.99356,                0.98548,                0.99316,                0.96681,                0.99275,                0.98518,                0.99329,                0.85099,                    nan,                0.38254,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                    103,                0.34181,                0.40033,                 0.3229,                0.83792,                0.99366,                0.98556,                 0.9936,                0.96645,                0.99308,                0.98485,                0.99361,                0.85055,                    nan,                0.37691,                    nan,                    nan,              0.0090001,              0.0090001,              0.0090001
                    104,                0.34407,                 0.4057,                0.31936,                 0.8357,                0.99173,                0.98618,                0.99327,                0.96692,                 0.9902,                0.98465,                0.99269,                0.84986,                    nan,                0.38016,                    nan,                    nan,              0.0089902,              0.0089902,              0.0089902
                    105,                  0.344,                0.40042,                0.32158,                0.83838,                0.99217,                0.98667,                0.99341,                0.96724,                0.99135,                0.98578,                0.99278,                0.85228,                    nan,                0.37588,                    nan,                    nan,              0.0089803,              0.0089803,              0.0089803
                    106,                0.34294,                0.40302,                0.32191,                0.83815,                0.99075,                0.98813,                0.99296,                0.96779,                 0.9889,                0.98591,                0.99258,                0.84975,                    nan,                0.37863,                    nan,                    nan,              0.0089704,              0.0089704,              0.0089704
                    107,                0.34044,                0.39972,                0.31967,                0.83862,                0.99115,                0.98548,                0.99357,                0.96763,                 0.9891,                0.98395,                  0.993,                0.85408,                    nan,                0.38148,                    nan,                    nan,              0.0089605,              0.0089605,              0.0089605
